10	161	2
82	23	4
168	227	4
58	122	3
108	99	1
1	180	0
61	403	3
8	328	0
32	177	5
9	328	2
130	426	2
82	117	0
197	466	1
39	107	9
84	72	5
89	84	4
37	107	5
101	413	7
156	90	8
90	50	6
189	165	0
65	52	7
132	229	3
93	263	5
20	288	5
61	495	2
151	310	4
105	24	4
153	412	5
190	217	3
82	206	9
46	344	6
197	210	7
142	60	8
80	403	7
83	106	4
195	92	8
92	243	6
170	240	7
172	475	5
24	117	7
169	461	4
171	96	2
44	476	4
177	95	0
93	464	2
14	287	0
83	206	2
11	6	8
106	143	3
121	189	4
97	29	7
89	217	2
141	447	3
103	130	4
105	385	5
1	333	5
26	379	0
106	204	7
16	135	8
3	91	4
10	153	7
123	54	0
93	477	2
15	65	7
92	149	7
115	474	4
113	215	4
28	389	9
92	487	7
193	431	3
33	151	1
91	236	4
144	294	2
36	164	3
128	350	2
114	442	3
187	355	5
179	473	9
171	125	5
18	84	8
93	461	9
7	194	2
170	315	7
176	65	7
168	145	8
89	305	8
93	63	3
174	108	7
110	68	1
78	130	1
166	79	1
142	160	3
166	150	8
83	51	9
131	424	1
127	436	8
175	160	4
181	395	5
31	67	3
69	56	5
124	410	9
65	309	4
138	251	1
28	492	9
69	184	9
143	54	7
44	159	8
142	85	3
115	495	0
46	408	6
81	70	4
122	82	3
4	64	5
68	77	6
191	319	1
66	100	6
19	427	4
40	361	8
91	385	3
57	85	2
14	395	7
194	327	3
187	419	7
60	1	3
77	2	1
167	343	2
4	360	7
87	392	8
194	119	8
81	143	9
127	464	0
190	499	2
68	435	8
140	159	9
189	165	9
31	9	1
121	74	7
48	33	3
79	427	0
97	141	5
31	121	0
116	220	4
6	347	1
172	198	0
69	119	5
114	146	1
171	354	3
30	365	3
58	256	9
88	260	0
124	351	2
111	222	9
107	303	9
100	316	7
47	49	6
178	391	2
55	157	3
12	369	0
172	33	7
137	197	1
21	304	3
1	368	4
92	1	0
123	285	0
66	370	5
29	490	4
103	66	7
146	95	7
17	415	9
49	450	3
22	388	3
143	55	7
177	219	9
59	332	5
26	412	6
112	199	1
58	283	5
42	390	8
176	133	7
46	21	3
110	60	3
64	492	5
121	277	8
65	400	8
68	446	7
43	332	7
24	496	8
47	87	5
91	147	1
28	427	6
36	55	4
183	498	4
112	219	4
161	314	5
134	465	4
90	335	9
18	378	3
67	464	4
198	269	9
47	353	4
149	410	8
58	153	9
196	467	9
81	25	2
50	411	3
63	152	7
57	319	1
98	56	9
23	437	3
112	76	1
35	179	9
6	331	7
99	56	4
119	265	2
132	307	4
145	74	7
37	216	4
107	29	2
103	308	9
139	181	9
15	249	6
129	262	9
79	310	5
38	285	4
31	14	9
95	191	0
23	446	0
152	80	8
43	131	6
27	281	8
195	26	0
21	342	7
22	276	6
49	473	4
84	321	3
125	401	8
92	400	6
89	82	6
65	144	1
12	82	6
81	254	4
55	465	0
84	341	1
97	26	9
103	35	2
35	489	8
133	475	8
166	36	9
19	284	5
176	414	6
160	136	4
55	395	3
134	243	1
37	423	7
140	330	2
51	223	3
41	261	9
109	444	0
166	79	0
128	308	8
43	33	8
119	350	8
17	389	1
36	452	8
160	169	8
131	86	4
151	447	9
93	453	4
11	283	3
32	110	6
95	84	7
54	417	9
153	419	3
199	51	4
159	80	7
2	214	3
89	10	5
181	267	1
77	212	8
191	275	2
51	437	9
51	344	1
197	317	3
142	308	3
129	124	2
156	333	0
163	267	1
59	200	4
133	139	1
14	280	4
111	71	6
134	291	1
80	131	5
163	451	7
88	411	1
61	403	3
136	360	6
155	302	0
130	27	6
101	36	1
87	492	2
154	432	8
0	111	4
117	426	3
42	484	2
173	145	6
7	399	2
31	45	0
42	312	5
167	40	4
119	43	0
124	160	3
89	442	2
25	24	3
160	297	6
5	211	2
187	291	9
10	253	6
145	27	1
159	315	3
197	460	4
125	300	2
142	60	0
15	372	1
112	384	8
123	104	8
150	21	4
20	156	9
83	134	5
138	4	3
178	211	8
51	419	5
95	458	2
7	162	6
156	177	4
37	321	0
172	362	2
76	163	2
147	138	0
118	192	8
7	237	8
22	363	5
90	411	1
77	271	3
0	176	1
79	173	3
11	4	8
29	63	9
110	375	6
3	356	6
17	7	4
8	103	6
191	275	3
14	188	4
10	235	9
44	464	0
98	445	6
188	330	2
68	28	8
139	246	2
16	249	0
45	481	8
120	109	1
97	287	9
2	359	8
